country,cncode,year,region,incomegr,dbacba,llgdp,cbagdp,dbagdp,ofagdp,pcrdbgdp,pcrdbofgdp,bdgdp,fdgdp,bcbd,ll_usd,overhead,netintmargin,concentration,roa,roe,costinc,zscore,inslife,insnonlife,stmktcap,stvaltraded,stturnover,listco_pc,prbond,pubond,intldebt,intldebtnet,nrbloan,offdep,remit
Aruba,ABW,1981,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,1982,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,1983,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,1984,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,1985,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,1986,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,101.67,277.65,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,1987,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,87.05,367.65,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,1988,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,98.06,423.52,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,1989,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,92.41,489.48,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,1990,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,89.63,540.50,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,1991,High-income nonOECD members,High-income nonOECD members,,52.23,,43.54,,41.71,41.71,47.57,47.57,85.96,623.15,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,1992,High-income nonOECD members,High-income nonOECD members,,54.74,,43.83,,41.77,41.77,50.07,50.07,81.10,681.57,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,1993,High-income nonOECD members,High-income nonOECD members,,52.69,,41.57,,39.53,39.53,48.46,48.46,82.04,701.33,,,,,,,,,,,,,,,,,,,,
Aruba,ABW,1994,High-income nonOECD members,High-income nonOECD members,,50.67,,41.66,,39.16,39.16,46.68,46.68,85.60,777.67,,,,,,,,,,,,,,,,,,,,0.29
Aruba,ABW,1995,High-income nonOECD members,High-income nonOECD members,,51.77,,43.80,,41.57,41.57,47.52,47.52,89.36,790.60,,,,,,,,,,,,,,,,,,19.99,225.01,0.33
Aruba,ABW,1996,High-income nonOECD members,High-income nonOECD members,,51.73,,45.32,,43.37,43.37,47.44,47.44,93.46,798.34,,,,,,,,,,,,,,,,,,42.10,187.75,0.88
Aruba,ABW,1997,High-income nonOECD members,High-income nonOECD members,,48.58,,44.34,,42.17,42.17,44.75,44.75,95.02,816.55,,,,,,,,,,,,,,,,,,12.53,74.89,0.13
Aruba,ABW,1998,High-income nonOECD members,High-income nonOECD members,,48.53,,42.76,,40.82,40.82,44.83,44.83,87.56,912.63,,,,,,,,,,,,,,,,,,44.98,67.69,0.18
Aruba,ABW,1999,High-income nonOECD members,High-income nonOECD members,,52.27,,44.30,,42.40,42.40,48.32,48.32,87.94,979.45,,,,,,,,,,,,,,,,,,46.67,52.28,0.37
Aruba,ABW,2000,High-income nonOECD members,High-income nonOECD members,,51.16,,44.53,,42.96,42.96,47.33,47.33,93.63,966.54,,,,,,,,,,,,,,,,,,16.23,69.38,0.42
Aruba,ABW,2001,High-income nonOECD members,High-income nonOECD members,,51.93,,46.40,,44.86,44.86,47.96,47.96,93.46,1012.35,,,,,,61.28,,1.33,1.50,,,,,,,,,10.47,45.69,0.51
Aruba,ABW,2002,High-income nonOECD members,High-income nonOECD members,,55.70,,50.23,,48.38,48.38,51.56,51.56,94.18,1092.71,3.31,3.35,,1.58,31.65,69.21,9.89,1.36,1.47,,,,,,,,,11.80,42.53,0.46
Aruba,ABW,2003,High-income nonOECD members,High-income nonOECD members,,58.96,,54.73,,52.66,52.66,55.22,55.22,96.47,1169.11,5.48,6.03,,2.71,32.53,70.96,16.04,1.39,1.50,,,,,,,,,11.23,58.33,0.50
Aruba,ABW,2004,High-income nonOECD members,High-income nonOECD members,,56.55,,53.77,,51.65,51.65,53.21,53.21,97.65,1162.23,4.00,4.98,,1.81,18.02,66.64,16.95,1.53,1.38,,,,,,,,,11.44,56.45,0.59
Aruba,ABW,2005,High-income nonOECD members,High-income nonOECD members,,56.57,,55.19,,52.66,52.66,53.05,53.05,100.86,1196.15,4.43,5.46,,2.02,19.26,65.00,16.47,1.70,1.17,,,,,,,,,13.47,46.41,0.03
Aruba,ABW,2006,High-income nonOECD members,High-income nonOECD members,,57.17,,57.13,,54.28,54.28,53.33,53.33,102.69,1200.54,2.98,4.04,,0.93,8.98,64.38,15.77,1.43,1.17,,,,,,,,2.15,17.68,62.43,0.04
Aruba,ABW,2007,High-income nonOECD members,High-income nonOECD members,,54.20,,54.73,,52.07,52.07,50.46,50.46,103.73,1187.76,4.70,7.09,,1.93,18.61,61.29,16.00,1.90,1.03,,,,,,,,1.75,19.44,64.93,0.20
Aruba,ABW,2008,High-income nonOECD members,High-income nonOECD members,,59.52,,56.40,,54.13,54.13,55.65,55.65,91.87,1383.23,,,,,,,,2.07,1.11,,,,,,,,,19.70,71.00,0.26
Aruba,ABW,2009,High-income nonOECD members,High-income nonOECD members,,69.07,,59.97,,57.67,57.67,65.01,65.01,85.52,1424.01,,,,,,,,1.68,1.38,,,,,,,,,22.41,67.65,0.39
Aruba,ABW,2010,High-income nonOECD members,High-income nonOECD members,,73.02,,63.60,,59.38,59.38,68.95,68.95,86.71,1399.13,,,,,,,,2.11,1.47,,,,,,,,,26.50,50.60,0.20
Aruba,ABW,2011,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,89.29,1360.54,3.11,8.51,,3.21,26.79,49.03,20.87,,,,,,,,,,,25.07,57.77,0.21
Andorra,ADO,1960,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,1961,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,1962,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,1963,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,1964,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,1965,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,1966,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,1967,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,1968,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,1969,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,1970,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,1971,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,1972,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,1973,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,1974,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,1975,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,1976,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,1977,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,1978,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,1979,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,1980,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,1981,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,1982,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,1983,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,1984,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,1985,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,1986,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,1987,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,1988,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,1989,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,1990,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,1991,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,1992,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,1993,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,1994,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,ADO,1995,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.89,,
Andorra,ADO,1996,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.58,,
Andorra,ADO,1997,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.36,,
Andorra,ADO,1998,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,,,79.78,,,33.29,,,,,,,,,,,,36.55,,
Andorra,ADO,1999,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,0.91,1.62,78.98,1.60,17.16,32.36,18.18,,,,,,,,,,,27.99,,
Andorra,ADO,2000,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,1.07,1.80,78.01,2.09,20.68,30.75,20.18,,,,,,,,,,,38.11,,
Andorra,ADO,2001,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,0.82,1.67,87.69,1.66,15.64,31.41,19.96,,,,,,,,,,,30.36,,
Andorra,ADO,2002,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,1.18,2.01,87.33,2.25,19.63,33.99,22.93,,,,,,,,,,,34.89,,
Andorra,ADO,2003,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,1.25,1.87,86.04,2.53,19.44,31.99,26.27,,,,,,,,,,,28.10,,
Andorra,ADO,2004,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,1.36,1.63,84.13,2.69,18.21,31.25,29.53,,,,,,,,,,,27.22,,
Andorra,ADO,2005,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,1.46,1.49,100.00,2.39,16.74,31.14,24.16,,,,,,,,,,,96.66,,
Andorra,ADO,2006,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,1.59,1.82,100.00,3.26,26.37,27.18,24.66,,,,,,,,,,,91.48,,
Andorra,ADO,2007,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,1.50,1.68,,3.14,29.21,27.51,21.05,,,,,,,,,,,73.00,,
Andorra,ADO,2008,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,1.30,1.28,,1.49,15.07,39.59,18.19,,,,,,,,,,,48.84,,
Andorra,ADO,2009,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,1.23,1.34,100.00,1.69,16.34,41.95,20.02,,,,,,,,,,,,,
Andorra,ADO,2010,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,1.48,1.41,100.00,1.62,14.88,46.53,20.16,,,,,,,,,,,,,
Andorra,ADO,2011,High-income nonOECD members,High-income nonOECD members,,,,,,,,,,,,1.62,1.36,100.00,1.47,14.71,50.32,16.93,,,,,,,,,,,,,
Afghanistan,AFG,1960,South Asia,Low-income economies,25.78,,,,,,,,,615.47,97.44,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1961,South Asia,Low-income economies,21.93,,,,,,,,,420.96,106.85,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1962,South Asia,Low-income economies,18.59,,,,,,,,,308.33,124.35,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1963,South Asia,Low-income economies,17.43,,,,,,,,,316.03,62.81,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1964,South Asia,Low-income economies,16.01,,,,,,,,,219.44,76.33,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1965,South Asia,Low-income economies,22.52,,,,,,,,,182.35,87.91,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1966,South Asia,Low-income economies,21.50,,,,,,,,,190.41,85.13,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1967,South Asia,Low-income economies,22.28,,,,,,,,,193.59,82.31,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1968,South Asia,Low-income economies,18.86,,,,,,,,,174.31,91.77,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1969,South Asia,Low-income economies,18.31,,,,,,,,,124.73,100.59,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1970,South Asia,Low-income economies,20.95,,,,,,,,,151.48,102.98,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1971,South Asia,Low-income economies,17.69,,,,,,,,,108.31,111.37,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1972,South Asia,Low-income economies,17.86,,,,,,,,,114.01,120.48,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1973,South Asia,Low-income economies,19.30,,,,,,,,,129.33,121.56,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1974,South Asia,Low-income economies,19.22,,,,,,,,,133.16,122.96,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1975,South Asia,Low-income economies,14.04,,,,,,,,,100.34,129.38,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1976,South Asia,Low-income economies,11.60,,,,,,,,,87.08,153.31,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1977,South Asia,Low-income economies,12.37,,,,,,,,,71.66,183.78,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1978,South Asia,Low-income economies,12.74,,,,,,,,,97.29,195.99,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1979,South Asia,Low-income economies,12.74,,,,,,,,,99.88,218.42,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1980,South Asia,Low-income economies,17.21,,,,,,,,,92.77,209.26,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1981,South Asia,Low-income economies,12.10,,,,,,,,,67.79,205.71,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1982,South Asia,Low-income economies,13.37,,,,,,,,,56.54,232.15,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1983,South Asia,Low-income economies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1984,South Asia,Low-income economies,8.28,,,,,,,,,45.21,274.47,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1985,South Asia,Low-income economies,8.03,,,,,,,,,60.33,292.03,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1986,South Asia,Low-income economies,8.22,,,,,,,,,61.87,324.36,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1987,South Asia,Low-income economies,7.56,,,,,,,,,67.63,468.19,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1988,South Asia,Low-income economies,8.10,,,,,,,,,69.41,603.21,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1989,South Asia,Low-income economies,6.46,,,,,,,,,67.80,790.60,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1990,South Asia,Low-income economies,5.66,,,,,,,,,59.73,1047.57,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1991,South Asia,Low-income economies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1992,South Asia,Low-income economies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1993,South Asia,Low-income economies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1994,South Asia,Low-income economies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1995,South Asia,Low-income economies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1996,South Asia,Low-income economies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1997,South Asia,Low-income economies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1998,South Asia,Low-income economies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,1999,South Asia,Low-income economies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,2000,South Asia,Low-income economies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,2001,South Asia,Low-income economies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.97,,
Afghanistan,AFG,2002,South Asia,Low-income economies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,
Afghanistan,AFG,2003,South Asia,Low-income economies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,
Afghanistan,AFG,2004,South Asia,Low-income economies,,,,,,,,,,,,,,,,,114.41,,,,,,,,,,,,0.87,,
Afghanistan,AFG,2005,South Asia,Low-income economies,,,,,,,,,,,,7.69,9.80,100.00,2.01,7.10,63.04,23.39,,,,,,,,,,,0.67,,
Afghanistan,AFG,2006,South Asia,Low-income economies,,,,,,,,,,52.91,1405.32,7.49,8.00,89.87,-0.50,-2.10,98.62,15.34,,,,,,,,,,,0.57,18.15,
Afghanistan,AFG,2007,South Asia,Low-income economies,,20.02,,5.29,,4.96,4.96,8.73,8.73,59.41,1975.85,7.11,9.03,96.81,0.72,4.52,83.01,9.39,,,,,,,,,,,1.10,17.71,
Afghanistan,AFG,2008,South Asia,Low-income economies,,23.94,,7.83,,7.18,7.18,11.99,11.99,60.27,2405.84,5.10,10.54,71.72,1.98,12.70,50.52,14.38,,,,,,,,,,,0.72,7.60,
Afghanistan,AFG,2009,South Asia,Low-income economies,67.73,23.89,,7.93,,7.64,7.64,13.11,13.11,56.99,3343.18,5.31,10.04,69.86,1.65,9.90,63.03,13.09,,,,,,,,,,,0.96,5.62,
Afghanistan,AFG,2010,South Asia,Low-income economies,73.94,27.66,3.68,8.96,,8.96,8.96,15.08,15.08,61.69,4502.06,3.25,5.36,67.76,0.33,2.28,71.14,9.72,,,,,,,,,,,0.60,4.85,
Afghanistan,AFG,2011,South Asia,Low-income economies,58.23,30.04,3.18,6.76,,6.76,6.76,15.75,15.75,26.14,4896.50,4.68,5.81,76.58,-1.57,-16.74,92.90,3.59,,,,,,,,,,,0.35,5.50,
Angola,AGO,1960,Sub-Saharan Africa,Upper-middle-income economies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,1961,Sub-Saharan Africa,Upper-middle-income economies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,1962,Sub-Saharan Africa,Upper-middle-income economies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,1963,Sub-Saharan Africa,Upper-middle-income economies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,1964,Sub-Saharan Africa,Upper-middle-income economies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,1965,Sub-Saharan Africa,Upper-middle-income economies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,1966,Sub-Saharan Africa,Upper-middle-income economies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,1967,Sub-Saharan Africa,Upper-middle-income economies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,1968,Sub-Saharan Africa,Upper-middle-income economies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,1969,Sub-Saharan Africa,Upper-middle-income economies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,1970,Sub-Saharan Africa,Upper-middle-income economies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,1971,Sub-Saharan Africa,Upper-middle-income economies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,1972,Sub-Saharan Africa,Upper-middle-income economies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,1973,Sub-Saharan Africa,Upper-middle-income economies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,1974,Sub-Saharan Africa,Upper-middle-income economies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,1975,Sub-Saharan Africa,Upper-middle-income economies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,1976,Sub-Saharan Africa,Upper-middle-income economies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,1977,Sub-Saharan Africa,Upper-middle-income economies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,1978,Sub-Saharan Africa,Upper-middle-income economies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,1979,Sub-Saharan Africa,Upper-middle-income economies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,1980,Sub-Saharan Africa,Upper-middle-income economies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,1981,Sub-Saharan Africa,Upper-middle-income economies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,1982,Sub-Saharan Africa,Upper-middle-income economies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,1983,Sub-Saharan Africa,Upper-middle-income economies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,1984,Sub-Saharan Africa,Upper-middle-income economies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,1985,Sub-Saharan Africa,Upper-middle-income economies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,1986,Sub-Saharan Africa,Upper-middle-income economies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,1987,Sub-Saharan Africa,Upper-middle-income economies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,1988,Sub-Saharan Africa,Upper-middle-income economies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,1989,Sub-Saharan Africa,Upper-middle-income economies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,1990,Sub-Saharan Africa,Upper-middle-income economies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,1991,Sub-Saharan Africa,Upper-middle-income economies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,1992,Sub-Saharan Africa,Upper-middle-income economies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,1993,Sub-Saharan Africa,Upper-middle-income economies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,1994,Sub-Saharan Africa,Upper-middle-income economies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
